#			1
SWJI   90.70    1.000   S
JAGI   92.80    1.000   S
BLJI   100.40    1.000   S
GRJI   111.30    1.000   S
#			60
PWJI   15.80    1.000   P
GMJI   18.90    1.000   P
SWJI   19.70    1.000   P
PCJI   21.30    1.000   P
BLJI   24.00    1.000   P
JAGI   27.10    1.000   P
GRJI   27.30    1.000   P
TBJI   29.60    1.000   P
ABJI   31.40    1.000   P
SWJI   35.20    1.000   S
JAGI   48.70    1.000   S
ABJI   57.10    1.000   S
#			61
PCJI   22.90    1.000   P
PWJI   29.80    1.000   P
SWJI   34.00    1.000   P
SCJI   34.30    1.000   P
KPJI   40.10    1.000   P
PCJI   41.90    1.000   S
PWJI   52.30    1.000   S
SWJI   60.30    1.000   S
#			62
PCJI   22.10    1.000   P
PWJI   30.50    1.000   P
SWJI   33.60    1.000   P
PCJI   40.60    1.000   S
PWJI   53.00    1.000   S
SWJI   59.30    1.000   S
#			63
PCJI   13.30    1.000   P
PWJI   18.60    1.000   P
SWJI   22.40    1.000   P
PCJI   23.30    1.000   S
PWJI   32.00    1.000   S
TBJI   35.30    1.000   P
GMJI   36.10    1.000   P
SCJI   36.30    1.000   P
GRJI   37.90    1.000   P
SWJI   39.40    1.000   S
BLJI   41.80    1.000   P
KPJI   43.10    1.000   P
CMJI   43.90    1.000   P
JAGI   45.80    1.000   P
#			64
GMJI   17.20    1.000   P
JAGI   23.20    1.000   P
PWJI   23.50    1.000   P
BLJI   24.60    1.000   P
SWJI   27.20    1.000   P
GMJI   30.00    1.000   S
PCJI   30.30    1.000   P
GRJI   33.90    1.000   P
JAGI   40.50    1.000   S
PWJI   41.40    1.000   S
BLJI   42.80    1.000   S
CGJI   107.90    1.000   P
#			65
GRJI   2.80    1.000   P
TBJI   12.70    1.000   P
BWJI   18.60    1.000   P
SWJI   21.20    1.000   P
TBJI   23.30    1.000   S
KMMI   25.00    1.000   P
BLJI   25.10    1.000   P
PWJI   26.30    1.000   P
PCJI   31.00    1.000   P
