X          Y          VP
112.264299 -9.045809   5.950 
112.535620 -9.246792   4.281 
110.296704 -8.944879 109.945 
111.612598 -8.880268  21.572 
112.866032 -9.688284  10.622 
112.849756 -9.768952  45.124 
110.428353 -9.240864   0.138 
111.777482 -8.299551 117.623 
112.494735 -8.906775  58.791 
111.083374 -6.350130   1.076 
111.085506 -6.360285  -0.080 
112.513322 -8.921997   6.693 
111.619735 -9.332034  16.436 
112.585457 -8.701726 116.286 
112.928467 -9.097685   7.986 
112.947412 -9.336629  16.679 
111.097103 -8.903836  74.858 
112.091056 -8.898814  41.487 
111.641602 -8.441803 110.459 
111.288013 -10.99662   2.1058 
110.957381 -9.016229  72.832 
112.461857 -9.077230  69.509 
111.390177 -7.352207  21.783 
111.165275 -8.883825  17.062 
110.225374 -8.538007  11.410 
112.725863 -8.546666  70.143 
112.841903 -9.757236   4.726 
112.727751 -9.713430   3.434 
112.367244 -9.170528   7.094 
111.027694 -9.003681  15.653 
110.125675 -8.187429  78.668 
112.731600 -8.480971   1.167 
112.919507 -9.608649   2.089 
111.671908 -9.777509   7.090 
111.741797 -9.725581  53.268 
111.752848 -9.763291   4.612 
111.742521 -9.403961   8.867 
111.655420 -9.787651   5.419 
112.474967 -8.942519  57.522 
110.414893 -8.144315   3.646 
111.661507 -10.03875  35.1989 
111.656519 -9.881299  24.623 
110.295760 -8.751333  19.550 
111.796851 -8.544214  77.424 
111.487191 -9.030080  17.321 
111.593913 -8.868996  41.496 
112.503247 -8.792957  66.246 
111.736165 -9.682150   0.966 
111.716732 -9.760812   4.159 
111.722428 -9.672173   7.167 
112.125578 -9.312941  22.641 
111.770996 -9.339554 137.519 
111.655200 -9.987454  34.605 
111.544230 -9.764289   4.200 
111.663892 -8.403904 112.200 
111.789990 -9.602880  18.345 
111.681616 -9.965826  14.082 
112.544279 -8.835998 100.173 
110.212736 -9.095609   8.496 
110.412931 -8.392548  74.591 
111.572795 -9.718293  -0.058 
111.303711 -8.820311  62.544 
111.300041 -8.829751  55.504 
111.537378 -9.923472   6.903 
110.229940 -9.180084   5.646 
112.126872 -8.990997  17.582 
112.259766 -7.773061 170.068 
111.074504 -8.786581  40.792 
112.907227 -9.786483   8.030 
111.562240 -9.000505  43.855 
111.334269 -7.499088  23.429 
111.280680 -9.100171  22.343 
111.602100 -7.376796 241.567 
110.421077 -9.271379   5.546 
110.299487 -9.336317   5.446 
110.526571 -8.923875  17.049 
111.143506 -8.242908 101.046 
110.272884 -9.264715   3.580 
111.216659 -8.926574   9.428 
110.983822 -9.114162  68.037 
111.735433 -9.947917  33.944 
111.629688 -9.909225  57.539 
111.751090 -8.338010   3.243 
112.811060 -9.549033   0.250 
111.828361 -11.53520   5.2040 
112.828076 -8.708776  75.574 
110.062793 -9.092945   3.397 
110.601156 -8.784066  69.178 
111.852482 -8.784872  44.899 
110.685018 -8.866837  17.709 
110.380070 -8.077579   4.373 
112.269206 -9.610103   2.625 
110.271867 -8.918524 109.831 
113.030469 -9.321416   0.922 
112.868734 -9.673966  70.665 
112.874797 -9.573020  20.727 
112.912712 -9.600280  15.072 
112.892969 -9.375972   5.744 
112.110726 -9.298990  15.855 
110.264705 -9.144773   5.819 
110.665910 -8.594717  81.433 
111.507194 -9.989589   1.494 
110.500684 -9.028764  35.192 
112.091724 -9.417645  72.830 
112.887793 -10.20967   5.8556 
112.824821 -9.503391   3.304 
110.574528 -9.536499  28.494 
112.152409 -8.836487  47.140 
110.706543 -8.272711  81.143 
110.442049 -9.313337   3.815 
110.126750 -9.090650   7.586 
110.112793 -9.290598  68.062 
112.796549 -9.515559   2.422 
112.832373 -9.561020   2.460 
111.236922 -9.046391   3.760 
111.724048 -7.573133   3.823 
111.258008 -9.296564   2.679 
111.569019 -7.530386 215.603 
